,id,title,subtitle,sq_mt_built,loan_int_rate,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,19840,Ático en venta en calle Antonio Prieto,"Zofío, Madrid",172,12.53,150,4,2,,,,,Calle Antonio Prieto,TRUE,Calle Antonio Prieto,,,3,FALSE,,Neighborhood 122: Zofío (1941.38 €/m2) - District 18: Usera,sale,1135,,FALSE,275000,1599,TRUE,HouseType 5: Áticos,FALSE,FALSE,1988,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,no indicado,TRUE,,,TRUE,0,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,19839,Piso en venta en calle José Anespere,"Moscardó, Madrid",46,10,,2,1,,,,,Calle José Anespere,TRUE,Calle José Anespere,,,2,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,621,,FALSE,119000,2587,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,19838,Piso en venta en calle de Juan Español,"Moscardó, Madrid",76,,,3,1,,,,,Calle de Juan Español,TRUE,Calle de Juan Español,,,4,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,798,,FALSE,165000,2171,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,,FALSE,TRUE,,,TRUE,TRUE,,,,,,en trámite,FALSE,,,,,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,19837,Piso en venta en calle José Anespere,"Moscardó, Madrid",46,6.03,,2,1,,,,,Calle José Anespere,TRUE,Calle José Anespere,,,1,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,621,,FALSE,119000,2587,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,19836,Piso en venta en calle Alerce s/n,"12 de Octubre-Orcasur, Madrid",111,12.61,89,3,2,,,,,Calle Alerce s/n,FALSE,,,,Bajo,TRUE,,Neighborhood 123: 12 de Octubre-Orcasur (1637.13 €/m2) - District 18: Usera,sale,851,,FALSE,180000,1622,TRUE,HouseType 1: Pisos,FALSE,FALSE,1991,FALSE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,19835,Piso en venta en San Fermín,"Usera, Madrid",70,,,3,1,,,,,,TRUE,,,,3,FALSE,,Neighborhood 121: San Fermín (1912.8 €/m2) - District 18: Usera,sale,666,,FALSE,130000,1857,TRUE,HouseType 1: Pisos,FALSE,,1971,FALSE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,19834,Ático en venta en calle del Amor Hermoso,"Almendrales, Madrid",92,11.99,82,3,2,,,,,Calle del Amor Hermoso,TRUE,Calle del Amor Hermoso,,,4,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,743,,FALSE,149900,1629,TRUE,HouseType 5: Áticos,FALSE,FALSE,1970,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,19833,Piso en venta en calle Pilarica s/n,"Almendrales, Madrid",43,,37,1,1,,,,,Calle Pilarica s/n,FALSE,,,,2,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,744,,FALSE,150000,3488,TRUE,HouseType 1: Pisos,FALSE,,2009,,,,,,TRUE,,,,,,,,,,,F,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,19832,Piso en venta en calle de Antonio López,"Almendrales, Madrid",74,14.72,65,2,1,,,,,Calle de Antonio López,TRUE,Calle de Antonio López,,,2,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,743,,FALSE,149900,2026,TRUE,HouseType 1: Pisos,FALSE,FALSE,1975,,,,,TRUE,TRUE,FALSE,,,,,,,,,,E,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,19831,Piso en venta en calle de Madridejos,"Pradolongo, Madrid",87,,81,2,1,,,,,Calle de Madridejos,TRUE,Calle de Madridejos,,,2,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,913,,FALSE,199000,2287,TRUE,HouseType 1: Pisos,FALSE,FALSE,1971,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,,TRUE,TRUE,,,,,E,FALSE,,,,,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,19830,Piso en venta en calle de Antonio López,"Almendrales, Madrid",73,9.88,68,2,1,,,,,Calle de Antonio López,TRUE,Calle de Antonio López,,,3,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,1094,,FALSE,260000,3562,TRUE,HouseType 1: Pisos,FALSE,FALSE,1986,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,TRUE,E,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,19829,Piso en venta en calle Mamerto López,"Pradolongo, Madrid",115,10.36,,4,2,,,,,Calle Mamerto López,TRUE,Calle Mamerto López,,,1,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,964,,FALSE,215000,1870,TRUE,HouseType 1: Pisos,FALSE,FALSE,1988,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,,TRUE,TRUE,,,,TRUE,E,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,19828,Piso en venta en calle Olvido,"Almendrales, Madrid",87,13.79,,3,2,,,,,Calle Olvido,TRUE,Calle Olvido,,,2,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,1086,,FALSE,257000,2954,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,19827,Piso en venta en calle Francisco Ruiz,"Almendrales, Madrid",75,7.49,,3,1,,,,,Calle Francisco Ruiz,TRUE,Calle Francisco Ruiz,,,3,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,868,,FALSE,185000,2467,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,19826,"Piso en venta en calle del Alerce, 15","12 de Octubre-Orcasur, Madrid",100,,,3,2,,,,,"Calle del Alerce, 15",FALSE,Calle del Alerce,15,,1,FALSE,,Neighborhood 123: 12 de Octubre-Orcasur (1637.13 €/m2) - District 18: Usera,sale,917,,FALSE,200000,2000,TRUE,HouseType 1: Pisos,FALSE,FALSE,2001,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,19825,Piso en venta en calle de Antonio Salvador,"Almendrales, Madrid",110,9.32,,4,1,,,,,Calle de Antonio Salvador,TRUE,Calle de Antonio Salvador,,,1,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,901,,FALSE,195000,1773,TRUE,HouseType 1: Pisos,FALSE,,,,,,,,,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918,19824,Piso en venta en calle Juan Zofío,"Zofío, Madrid",80,11.36,75,3,1,,,,,Calle Juan Zofío,TRUE,Calle Juan Zofío,,,1,FALSE,,Neighborhood 122: Zofío (1941.38 €/m2) - District 18: Usera,sale,827,,FALSE,173000,2162,TRUE,HouseType 1: Pisos,FALSE,FALSE,1976,FALSE,TRUE,,,TRUE,FALSE,TRUE,,,TRUE,TRUE,TRUE,,,,,en trámite,FALSE,,,,,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919,19823,Piso en venta en avenida Cerro de los Ángeles,"Zofío, Madrid",350,13.35,330,6,6,,,,,Avenida Cerro de los Ángeles,TRUE,Avenida Cerro de los Ángeles,,,Bajo,TRUE,,Neighborhood 122: Zofío (1941.38 €/m2) - District 18: Usera,sale,2315,,FALSE,790000,2257,TRUE,HouseType 1: Pisos,FALSE,FALSE,1975,,,,TRUE,TRUE,FALSE,TRUE,,,,TRUE,,,,,,en trámite,FALSE,,,,,FALSE,TRUE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,19822,Piso en venta en CRISTO DE LA VICTORIA,"Pradolongo, Madrid",120,6.91,100,4,2,,,,,CRISTO DE LA VICTORIA,TRUE,CRISTO DE LA VICTORIA,,,1,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,901,,FALSE,195000,1625,TRUE,HouseType 1: Pisos,FALSE,FALSE,1983,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,19821,"Piso en venta en calle Dodge, 2","Orcasitas, Madrid",130,13.06,,3,2,,,,,"Calle Dodge, 2",FALSE,Calle Dodge,2,,3,FALSE,,Neighborhood 119: Orcasitas (1931.95 €/m2) - District 18: Usera,sale,1064,,FALSE,249000,1915,TRUE,HouseType 1: Pisos,FALSE,FALSE,2000,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,TRUE,TRUE,E,TRUE,,,TRUE,0,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922,19820,"Piso en venta en Ferroviarios, 5","Moscardó, Madrid",66,9.63,60,2,1,,,,,"Ferroviarios, 5",FALSE,Ferroviarios,5,,2,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,798,,FALSE,164900,2498,TRUE,HouseType 1: Pisos,FALSE,FALSE,1966,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,,,,,,E,FALSE,,,,,FALSE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923,19819,Piso en venta en Perpétua Díaz s/n,"Pradolongo, Madrid",41,18.3,,1,1,,,,,Perpétua Díaz s/n,FALSE,,,,Bajo,TRUE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,583,,FALSE,110000,2683,TRUE,HouseType 1: Pisos,FALSE,FALSE,2007,FALSE,TRUE,,,,TRUE,TRUE,,,,,,,,,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,19818,Piso en venta en antonio lopez,"Moscardó, Madrid",95,5.99,,2,2,,,,,antonio lopez,TRUE,antonio lopez,,,3,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,1238,,FALSE,315000,3316,TRUE,HouseType 1: Pisos,FALSE,FALSE,2001,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,TRUE,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925,19817,Piso en venta en calle de Guetaria,"Orcasitas, Madrid",110,7.9,,3,2,,,,,Calle de Guetaria,TRUE,Calle de Guetaria,,,4,FALSE,,Neighborhood 119: Orcasitas (1931.95 €/m2) - District 18: Usera,sale,1159,,FALSE,284000,2582,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926,19816,"Piso en venta en calle Parque de la Paloma, 32","Zofío, Madrid",67,13.49,,2,1,,,,,"Calle Parque de la Paloma, 32",FALSE,Calle Parque de la Paloma,32,,1,FALSE,,Neighborhood 122: Zofío (1941.38 €/m2) - District 18: Usera,sale,868,,FALSE,185000,2761,TRUE,HouseType 1: Pisos,FALSE,FALSE,1970,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,,,,,,F,TRUE,,,TRUE,0,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927,19815,Piso en venta en calle de Ferroviarios,"Almendrales, Madrid",64,15.27,,3,1,,,,,Calle de Ferroviarios,TRUE,Calle de Ferroviarios,,,1,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,697,,FALSE,137900,2155,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,FALSE,TRUE,,,TRUE,,,,,,,E,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,19814,Piso en venta en avenida Cerro de los Ángeles,"Zofío, Madrid",56,12.53,,2,1,,,,,Avenida Cerro de los Ángeles,TRUE,Avenida Cerro de los Ángeles,,,3,FALSE,,Neighborhood 122: Zofío (1941.38 €/m2) - District 18: Usera,sale,592,,FALSE,112000,2000,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,,,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,19813,Piso en venta en calle Cristo de la Luz,"Almendrales, Madrid",65,16.49,,3,1,,,,,Calle Cristo de la Luz,TRUE,Calle Cristo de la Luz,,,4,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,646,,FALSE,125000,1923,TRUE,HouseType 1: Pisos,FALSE,FALSE,1962,,,,,TRUE,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,19812,"Piso en venta en santa maria de la cabeza, 153","Moscardó, Madrid",82,15.37,,3,2,,,,,"santa maria de la cabeza, 153",FALSE,santa maria de la cabeza,153,,2,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,994,,FALSE,225000,2744,TRUE,HouseType 1: Pisos,FALSE,FALSE,1962,FALSE,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,en trámite,FALSE,,,,,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931,19811,Piso en venta en calle Pilarica,"Almendrales, Madrid",98,14.27,,4,1,,,,,Calle Pilarica,TRUE,Calle Pilarica,,,1,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,1041,,FALSE,241000,2459,TRUE,HouseType 1: Pisos,FALSE,FALSE,,,,,TRUE,,FALSE,TRUE,,,,TRUE,,,,,,no indicado,FALSE,,,,,FALSE,TRUE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932,19810,Piso en venta en calle Olvido,"Almendrales, Madrid",65,7.51,55,3,1,,,,,Calle Olvido,TRUE,Calle Olvido,,,3,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,650,,FALSE,126000,1938,TRUE,HouseType 1: Pisos,FALSE,FALSE,1970,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,TRUE,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,19809,"Piso en venta en avenida de Andalucía, 32","12 de Octubre-Orcasur, Madrid",127,,89,3,2,,,,,"Avenida de Andalucía, 32",FALSE,Avenida de Andalucía,32,,4,FALSE,,Neighborhood 123: 12 de Octubre-Orcasur (1637.13 €/m2) - District 18: Usera,sale,1187,,FALSE,295000,2323,TRUE,HouseType 1: Pisos,FALSE,FALSE,2002,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,TRUE,E,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,19808,Piso en venta en calle de Salasierra,"Moscardó, Madrid",58,7.66,,2,1,,,,,Calle de Salasierra,TRUE,Calle de Salasierra,,,1,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,686,,FALSE,135000,2328,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,,,FALSE,TRUE,,,TRUE,TRUE,,,,,,en trámite,FALSE,,,,,FALSE,FALSE,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,19807,Piso en venta en calle Nicolás Godoy,"Almendrales, Madrid",61,9.67,,2,1,,,,,Calle Nicolás Godoy,TRUE,Calle Nicolás Godoy,,,3,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,769,,FALSE,157000,2574,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,,FALSE,FALSE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,19806,Piso en venta en calle Cristo de la Victoria,"Pradolongo, Madrid",100,11.99,,3,2,,,,,Calle Cristo de la Victoria,TRUE,Calle Cristo de la Victoria,,,4,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,805,,FALSE,167000,1670,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,TRUE,,,,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,19805,Piso en venta en calle Nicolás Sánchez,"Pradolongo, Madrid",60,12.84,,2,1,,,,,Calle Nicolás Sánchez,TRUE,Calle Nicolás Sánchez,,,3,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,583,,FALSE,110000,1833,TRUE,HouseType 1: Pisos,TRUE,FALSE,1965,FALSE,TRUE,,TRUE,TRUE,FALSE,FALSE,,,TRUE,,,,,,,E,FALSE,,,,,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,19804,"Piso en venta en calle Rutilo, 12","San Fermín, Madrid",144,11.49,101,4,2,,,,,"Calle Rutilo, 12",FALSE,Calle Rutilo,12,,1,FALSE,,Neighborhood 121: San Fermín (1912.8 €/m2) - District 18: Usera,sale,1108,,FALSE,265000,1840,TRUE,HouseType 1: Pisos,FALSE,FALSE,,FALSE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,19803,Piso en venta en calle Luis de la Torre,"Pradolongo, Madrid",83,8.7,63,2,1,,,,,Calle Luis de la Torre,TRUE,Calle Luis de la Torre,,,2,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,738,,FALSE,148500,1789,TRUE,HouseType 1: Pisos,FALSE,FALSE,1964,FALSE,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,19802,Piso en venta en calle Jesús del Gran Poder,"Moscardó, Madrid",62,,54,2,1,,,,,Calle Jesús del Gran Poder,TRUE,Calle Jesús del Gran Poder,,,Bajo,TRUE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,686,,FALSE,134900,2176,TRUE,HouseType 1: Pisos,FALSE,FALSE,1960,FALSE,TRUE,,TRUE,,TRUE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,19801,Piso en venta en calle Nicolás Sánchez,"Pradolongo, Madrid",65,9.99,60,3,1,,,,,Calle Nicolás Sánchez,TRUE,Calle Nicolás Sánchez,,,1,FALSE,,Neighborhood 120: Pradolongo (2068.64 €/m2) - District 18: Usera,sale,670,,FALSE,131000,2015,TRUE,HouseType 1: Pisos,FALSE,FALSE,1960,FALSE,TRUE,,,,FALSE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,19800,"Piso en venta en calle de Ferroviarios, 58","Almendrales, Madrid",60,13.43,57,2,1,,,,,"Calle de Ferroviarios, 58",FALSE,Calle de Ferroviarios,58,,2,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,654,,FALSE,127000,2117,TRUE,HouseType 1: Pisos,FALSE,FALSE,1956,,,,,,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,FALSE,FALSE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943,19799,Piso en venta en calle de Antonio López,"Moscardó, Madrid",107,7.49,100,5,2,,,,,Calle de Antonio López,TRUE,Calle de Antonio López,,,3,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,1294,,FALSE,338000,3159,TRUE,HouseType 1: Pisos,FALSE,,1965,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944,19798,"Piso en venta en calle General Marva, 43","Moscardó, Madrid",72,5.79,67,3,1,,,,,"Calle General Marva, 43",FALSE,Calle General Marva,43,,1,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,702,,FALSE,139000,1931,TRUE,HouseType 1: Pisos,FALSE,FALSE,1940,FALSE,TRUE,,TRUE,TRUE,FALSE,TRUE,,,TRUE,,,,,,,en trámite,FALSE,,,,,TRUE,FALSE,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,19797,Piso en venta en calle Guadix,"12 de Octubre-Orcasur, Madrid",81,,,2,1,,,,,Calle Guadix,TRUE,Calle Guadix,,,2,FALSE,,Neighborhood 123: 12 de Octubre-Orcasur (1637.13 €/m2) - District 18: Usera,sale,702,,FALSE,139000,1716,TRUE,HouseType 1: Pisos,TRUE,FALSE,,,,,,TRUE,FALSE,TRUE,,,TRUE,,,,,,,en trámite,TRUE,,,TRUE,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,19796,Piso en venta en calle de Amparo Usera,"Moscardó, Madrid",60,5.99,,3,1,,,,,Calle de Amparo Usera,TRUE,Calle de Amparo Usera,,,2,FALSE,,Neighborhood 118: Moscardó (2284.48 €/m2) - District 18: Usera,sale,758,,FALSE,154000,2567,TRUE,HouseType 1: Pisos,TRUE,FALSE,1958,FALSE,TRUE,,,,TRUE,TRUE,,,,,,,,,,en trámite,FALSE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,19795,Piso en venta en Almendrales,"Usera, Madrid",78,11.99,73,3,1,,,,,,TRUE,,,,3,FALSE,,Neighborhood 117: Almendrales (2205.31 €/m2) - District 18: Usera,sale,766,,FALSE,156000,2000,TRUE,HouseType 1: Pisos,FALSE,FALSE,1960,FALSE,TRUE,,,TRUE,FALSE,TRUE,,,TRUE,TRUE,,,,,,no indicado,FALSE,,,,,FALSE,TRUE,FALSE,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
